1	229	278	418	56	60
1	234	268	399	57	72
1	239	262	388	57	74
1	244	257	381	58	69
1	249	261	362	60	71
1	254	264	341	60	71
1	259	271	321	62	73
1	264	278	298	64	70
1	269	287	283	64	72
1	274	283	277	57	71
1	279	281	259	62	73
1	284	277	240	62	73
1	289	273	225	63	73
1	294	270	226	61	75
1	299	256	227	68	75
1	304	248	221	67	75
1	309	240	214	71	75
1	314	227	213	68	73
1	319	199	213	66	75
1	324	170	216	66	75
1	329	143	221	64	75
1	334	100	224	63	75
1	339	57	232	73	73
1	344	26	237	69	77
1	349	5	242	67	75
1	354	1	241	51	71
3	377	588	386	69	91
3	382	585	368	72	87
3	387	590	344	75	95
3	392	580	335	74	90
3	397	584	308	73	89
3	402	587	286	75	91
3	407	584	264	74	94
3	412	602	236	72	91
3	417	601	210	72	87
3	422	612	184	71	90
3	427	604	167	75	93
3	432	603	147	69	91
3	437	609	122	76	94
3	442	606	96	75	94
3	447	602	77	79	92
3	452	610	58	70	94
3	457	604	45	72	90
3	462	603	27	71	94
3	467	601	17	72	94
3	472	602	8	71	94
3	477	601	4	75	91
3	482	594	3	80	92
