1	109	24	209	92	182
1	114	64	202	93	184
1	119	113	204	82	177
1	124	159	204	85	178
1	129	197	201	82	181
1	134	234	205	84	176
1	139	268	202	87	178
1	144	303	201	85	181
1	149	336	204	84	176
1	154	361	203	85	179
1	159	385	202	81	182
1	164	409	205	83	178
1	169	435	204	83	179
1	174	458	200	83	181
1	179	485	200	85	180
1	184	512	195	85	185
1	189	537	193	86	183
1	194	549	189	90	185
1	199	565	185	86	182
1	204	568	172	86	184
1	209	565	161	85	188
1	214	564	146	87	187
1	219	563	121	86	189
1	224	566	106	88	188
1	229	559	91	88	189
1	234	551	69	84	192
1	239	544	62	86	187
1	244	540	46	86	190
1	249	545	26	83	188
1	254	544	2	88	190
